site_year_temp;plot_code;lat;long;sampled_area_ha;year_i;year;c_stocks_ha;p;cec;som;clay;site_area_ha;cwd;map;mat;k;ca;mg;sb;forest_type
DEC_02_2020;DEC_02;-15.5502;-44.701;1.2;2014;2020;62.29126701;7.568008043;6.3912;1.206996667;10.46666667;64;810.2183918;733.1965196;24.89308463;51.168;3.77;2.49;6.39086445;Deciduous
DEC_03_2005;DEC_03;-14.5447;-44.2105;0.4;2000;2005;47.05833049;2.274;19.121;6.27;40;60;770.7050524;955.125107;24.18183244;152.4;16.85;1.88;19.11976982;Deciduous
DEC_03_2010;DEC_03;-14.5447;-44.2105;0.4;2005;2010;52.23784201;2.274;19.121;6.27;40;60;762.9578458;925.8965296;24.26115391;152.4;16.85;1.88;19.11976982;Deciduous
DEC_03_2015;DEC_03;-14.5447;-44.2105;0.4;2010;2015;55.23576026;2.274;19.121;6.27;40;60;854.231865;782.2319668;24.25118179;152.4;16.85;1.88;19.11976982;Deciduous
DEC_03_2018;DEC_03;-14.5447;-44.2105;0.4;2015;2018;43.36912133;2.274;19.121;6.27;40;60;878.0831035;699.0047812;24.53502062;152.4;16.85;1.88;19.11976982;Deciduous
DEC_04_2005;DEC_04;-14.2663;-44.1068;0.2;2000;2005;74.11362503;9.11;8.054;3.366;10.2;20;805.8198531;901.0601147;25.14490335;75.2;6.62;1.16;7.972327366;Deciduous
DEC_04_2010;DEC_04;-14.2663;-44.1068;0.2;2005;2010;98.15405625;9.11;8.054;3.366;10.2;20;795.3943754;866.421041;25.22205182;75.2;6.62;1.16;7.972327366;Deciduous
DEC_05_2005;DEC_05;-14.4315;-44.4911;0.2;2000;2005;56.79262381;13.864;14.126;4.266;34;4;752.6846537;1014.036238;24.51275488;196;12.04;1.58;14.12127877;Deciduous
DEC_05_2010;DEC_05;-14.4315;-44.4911;0.2;2005;2010;62.60768692;13.864;14.126;4.266;34;4;746.3333502;973.6794545;24.5958454;196;12.04;1.58;14.12127877;Deciduous
DEC_05_2015;DEC_05;-14.4315;-44.4911;0.2;2010;2015;63.44953724;13.864;14.126;4.266;34;4;824.6168003;844.5115434;24.57385149;196;12.04;1.58;14.12127877;Deciduous
DEC_05_2018;DEC_05;-14.4315;-44.4911;0.2;2015;2018;50.26350888;13.864;14.126;4.266;34;4;855.7807338;754.316521;24.87321309;196;12.04;1.58;14.12127877;Deciduous
DEC_05_2020;DEC_05;-14.4315;-44.4911;0.2;2018;2020;52.54623814;13.864;14.126;4.266;34;4;802.2007503;787.771516;24.93224616;196;12.04;1.58;14.12127877;Deciduous
DEC_06_2005;DEC_06;-14.4919;-44.1841;0.48;2000;2005;45.93246517;1.901952862;10.28040404;4.779225589;19.13804714;80;794.7804645;928.2407168;24.66452848;158.1077441;8.949494949;0.878787879;10.23265046;Deciduous
DEC_06_2010;DEC_06;-14.4919;-44.1841;0.48;2005;2010;49.3028345;1.901952862;10.28040404;4.779225589;19.13804714;80;784.6135649;896.8863183;24.74338411;158.1077441;8.949494949;0.878787879;10.23265046;Deciduous
DEC_06_2015;DEC_06;-14.4919;-44.1841;0.48;2010;2015;50.76596241;1.901952862;10.28040404;4.779225589;19.13804714;80;877.9675209;757.1060043;24.73099993;158.1077441;8.949494949;0.878787879;10.23265046;Deciduous
DEC_06_2018;DEC_06;-14.4919;-44.1841;0.48;2015;2018;47.82853433;1.901952862;10.28040404;4.779225589;19.13804714;80;907.0716129;677.0328872;25.01439751;158.1077441;8.949494949;0.878787879;10.23265046;Deciduous
DEC_06_2020;DEC_06;-14.4919;-44.1841;0.48;2018;2020;48.21436141;1.901952862;10.28040404;4.779225589;19.13804714;80;852.1909312;706.0581891;25.07324086;158.1077441;8.949494949;0.878787879;10.23265046;Deciduous
IBI_01_1995;IBI_01;-21.7103;-43.8855;0.96;1990;1995;136.0368012;4.385416667;2.94375;5.697916667;17.6875;68;186.8496549;1611.661906;17.21834922;39.54166667;0.6;0.277083333;0.978212915;Evergreen
IBI_01_2000;IBI_01;-21.7103;-43.8855;0.96;1995;2000;142.5405376;4.385416667;2.94375;5.697916667;17.6875;68;200.3726321;1677.409922;17.32205578;39.54166667;0.6;0.277083333;0.978212915;Evergreen
IBI_01_2005;IBI_01;-21.7103;-43.8855;0.96;2000;2005;141.6470268;4.385416667;2.94375;5.697916667;17.6875;68;214.7703608;1668.059752;17.67883883;39.54166667;0.6;0.277083333;0.978212915;Evergreen
IBI_01_2014;IBI_01;-21.7103;-43.8855;0.96;2005;2014;138.6471215;4.385416667;2.94375;5.697916667;17.6875;68;191.0337549;1723.449627;17.72338535;39.54166667;0.6;0.277083333;0.978212915;Evergreen
IBI_01_2020;IBI_01;-21.7103;-43.8855;0.96;2014;2020;130.8099039;4.385416667;2.94375;5.697916667;17.6875;68;215.5464841;1417.609443;18.23028585;39.54166667;0.6;0.277083333;0.978212915;Evergreen
ING_01_1999;ING_01;-21.4098;-44.8929;1;1994;1999;80.0235696;1.76;2.944;3.7;26.96;17;271.2940855;1618.685484;20.19615736;53.76;1.096;0.656;1.889493606;Semideciduous
ING_01_2004;ING_01;-21.4098;-44.8929;1;1999;2004;88.60396331;1.76;2.944;3.7;26.96;17;316.2028771;1561.454043;20.40868917;53.76;1.096;0.656;1.889493606;Semideciduous
