plot_code;lat;long;n_plots;plot_size_m2;sampled_area_ha;n_census;interval_length;plot_code_interval;year_i;year_f;year;forest_type;site_area_ha;c_stocks_i;c_stocks_f;c_gains;c_losses;net_c_sink;crt;ph;p;k;ca;mg;al;sb;cec;som;clay;map;cwd;mat;max_temp;elevation;co2_i;co2_f;co2_change;co2_atm
CRR_01;-21.6121;-44.612;30;400;1.2;4;8;CRR_01_2011_2019;2011;2019;2015;Evergreen;36;106.3071945;104.1066569;1.635777492;1.930869584;-0.295092092;63.64353185;4.096666667;3.633333333;56.96666667;0.293333333;0.103333333;3.34;0.542361466;3.88;5.94;23;1615.518214;238.3613178;18.20472305;24.2179373;1475;391.65;411.44;2.47375;401.545
DEC_01;-14.4138;-44.1627;20;400;0.8;5;5;DEC_01_2005_2010;2005;2010;2007.5;Deciduous;50;40.54409548;46.82535252;1.73709029;0.423679442;1.313410848;26.95619957;6.405;2.24;138.1;11.155;1.665;0.005;13.17319693;13.179;4.532;29.7;883.5775007;789.9968072;24.85965162;31.01455311;510;379.8;389.9;2.02;384.85
DEC_01;-14.4138;-44.1627;20;400;0.8;5;5;DEC_01_2010_2015;2010;2015;2012.5;Deciduous;50;46.82535252;49.18176432;1.291736584;0.799010878;0.492725706;38.07414368;6.405;2.24;138.1;11.155;1.665;0.005;13.17319693;13.179;4.532;29.7;744.3365955;885.1782168;24.84315168;30.99805311;510;389.9;400.83;2.186;395.365
DEC_01;-14.4138;-44.1627;20;400;0.8;5;3;DEC_01_2015_2018;2015;2018;2016.5;Deciduous;50;49.18176432;45.3143688;0.362706266;1.687031405;-1.324325139;124.9340666;6.405;2.24;138.1;11.155;1.665;0.005;13.17319693;13.179;4.532;29.7;666.4569346;914.7245387;25.12632214;31.2812237;510;400.83;408.52;2.563333333;404.675
DEC_01;-14.4138;-44.1627;20;400;0.8;5;2;DEC_01_2018_2020;2018;2020;2019;Deciduous;50;45.3143688;47.38370773;2.466236944;1.412736495;1.053500449;19.21295836;6.405;2.24;138.1;11.155;1.665;0.005;13.17319693;13.179;4.532;29.7;695.897387;860.7889861;25.18727402;31.34217562;510;408.52;411.44;2.92;409.98
DEC_02;-15.5502;-44.701;30;400;1.2;3;7;DEC_02_2007_2014;2007;2014;2010.5;Deciduous;64;72.03277635;73.31376642;1.288471706;1.093816115;0.194655591;56.89978759;6.22;7.568008043;51.168;3.77;2.49;0;6.39086445;6.3912;1.206996667;10.46666667;926.168634;754.3024203;24.51891861;31.16514545;509;383.79;398.65;2.122857143;391.22
DEC_02;-15.5502;-44.701;30;400;1.2;3;6;DEC_02_2014_2020;2014;2020;2017;Deciduous;64;73.31376642;62.29126701;0.511575001;2.44896298;-1.937387979;121.7637041;6.22;7.568008043;51.168;3.77;2.49;0;6.39086445;6.3912;1.206996667;10.46666667;733.1965196;810.2183918;24.89308463;31.53931162;509;398.65;411.44;2.558;405.045
DEC_03;-14.5447;-44.2105;10;400;0.4;4;5;DEC_03_2005_2010;2005;2010;2007.5;Deciduous;60;47.05833049;52.23784201;1.658583663;0.575547803;1.08303586;31.49545192;6.99;2.274;152.4;16.85;1.88;0;19.11976982;19.121;6.27;40;925.8965296;762.9578458;24.26115391;30.49131883;625;379.8;389.9;2.02;384.85
DEC_03;-14.5447;-44.2105;10;400;0.4;4;5;DEC_03_2010_2015;2010;2015;2012.5;Deciduous;60;52.23784201;55.23576026;1.498244352;0.871379646;0.626864706;36.86699049;6.99;2.274;152.4;16.85;1.88;0;19.11976982;19.121;6.27;40;782.2319668;854.231865;24.25118179;30.48134664;625;389.9;400.83;2.186;395.365
DEC_03;-14.5447;-44.2105;10;400;0.4;4;3;DEC_03_2015_2018;2015;2018;2016.5;Deciduous;60;55.23576026;43.36912133;0.227387851;4.290920577;-4.063532726;190.7275217;6.99;2.274;152.4;16.85;1.88;0;19.11976982;19.121;6.27;40;699.0047812;878.0831035;24.53502062;30.76518568;625;400.83;408.52;2.563333333;404.675
DEC_04;-14.2663;-44.1068;5;400;0.2;2;5;DEC_04_2005_2010;2005;2010;2007.5;Deciduous;20;74.11362503;98.15405625;5.732155452;0.705301285;5.026854167;17.12341144;6.34;9.11;75.2;6.62;1.16;0.08;7.972327366;8.054;3.366;10.2;866.421041;795.3943754;25.22205182;31.61862741;450;379.8;389.9;2.02;384.85
